tid,jid
3,11d599f229a80023d2f40e7c52cd941e
9,11d599f229a80023d2f40e7c52cd941e
10,11d599f229a80023d2f40e7c52cd941e
9,e4cbb126dabf22159aff90223243ff2a
10,e4cbb126dabf22159aff90223243ff2a
3,839106b353877fa3d896ffb9c1fe01c0
8,839106b353877fa3d896ffb9c1fe01c0
9,839106b353877fa3d896ffb9c1fe01c0
10,839106b353877fa3d896ffb9c1fe01c0
13,839106b353877fa3d896ffb9c1fe01c0
4,58435fcab804439efdcaa7ecca0fd783
10,58435fcab804439efdcaa7ecca0fd783
13,58435fcab804439efdcaa7ecca0fd783
10,64d0272dc8496abfd9523a8df63c184c
13,64d0272dc8496abfd9523a8df63c184c
10,1e2637cb5f7a2c4615a99a26c0566c66
9,549a0541e4452ecd155efc032aaa72d7
10,a6a2b5e825b8ce1c3b517adb2497c5ed
9,73a9ba2b706e02628fa22ca1357174b1
10,73a9ba2b706e02628fa22ca1357174b1
9,2f8bdf60db4d85627ab8f040e67aa78d
10,2f8bdf60db4d85627ab8f040e67aa78d
10,dd244d1299cf62058c71cef022bcfab3
12,dd244d1299cf62058c71cef022bcfab3
10,b43c077756d5a326c4854e1399fd2464
9,d8491fcefe14d1398de419984dccf427
10,d8491fcefe14d1398de419984dccf427
4,5d8434d45f730aa4fc040c5fa7495cde
9,5d8434d45f730aa4fc040c5fa7495cde
10,5d8434d45f730aa4fc040c5fa7495cde
13,5d8434d45f730aa4fc040c5fa7495cde
10,c43a1fc560511962321dbf21df14fe49
9,8d8f39de4a07929a92c2e6dd7a72a0af
10,8d8f39de4a07929a92c2e6dd7a72a0af
10,426ea422646470737cb364453e94f38a
12,426ea422646470737cb364453e94f38a
13,426ea422646470737cb364453e94f38a
9,3bef462fc38d743c7fbce17cf50ee7d5
10,3bef462fc38d743c7fbce17cf50ee7d5
3,9331cb7b561348a692f7afc58ac78926
7,9331cb7b561348a692f7afc58ac78926
8,9331cb7b561348a692f7afc58ac78926
9,9331cb7b561348a692f7afc58ac78926
10,9331cb7b561348a692f7afc58ac78926
9,98fe0175cd3ff1d6fb6a288bc524d7b9
10,98fe0175cd3ff1d6fb6a288bc524d7b9
12,98fe0175cd3ff1d6fb6a288bc524d7b9
10,d1d9bcc6830e358f4a1f8c42a677cbb6
3,c552f63b5497f720942aaf943d629b1c
10,c552f63b5497f720942aaf943d629b1c
3,ec9c0862d3556a59ed8ea5c2b62e1c8a
4,ec9c0862d3556a59ed8ea5c2b62e1c8a
6,ec9c0862d3556a59ed8ea5c2b62e1c8a
7,ec9c0862d3556a59ed8ea5c2b62e1c8a
8,ec9c0862d3556a59ed8ea5c2b62e1c8a
9,ec9c0862d3556a59ed8ea5c2b62e1c8a
9,996c1afcddcc7864f60458d164f74847
10,996c1afcddcc7864f60458d164f74847
10,de49594f00f4af8c1e0fbffd85120208
10,bc88dfe50b64e2925866e4af6330fc55
13,bc88dfe50b64e2925866e4af6330fc55
3,779bb4c9bf038b7fb775134736d36fd4
9,779bb4c9bf038b7fb775134736d36fd4
10,779bb4c9bf038b7fb775134736d36fd4
9,7acc0ab84a0d47b6a704a827973df111
10,7acc0ab84a0d47b6a704a827973df111
10,ff8f12f0bf284440a35bbce91af5bbd6
4,c502773af0a9fe5e1a3373f09f9cb9d7
10,c502773af0a9fe5e1a3373f09f9cb9d7
12,c502773af0a9fe5e1a3373f09f9cb9d7
10,d1b78f7f4b2001582366c5a7941ed28c
3,4e195c4c6d72e738a1e13aea51005398
8,4e195c4c6d72e738a1e13aea51005398
9,4e195c4c6d72e738a1e13aea51005398
10,4e195c4c6d72e738a1e13aea51005398
12,4e195c4c6d72e738a1e13aea51005398
10,4242cb05db491f35305a7b548366902d
4,9b9909d9b767574adc8f8e51cc4667a5
9,9b9909d9b767574adc8f8e51cc4667a5
10,9b9909d9b767574adc8f8e51cc4667a5
9,eea9b50afc4fece9f9d6ff0dbf659784
10,1f2da47e60173c6667395f081c048713
4,cdb43e7af5690c1468834ea04a193aab
10,0d9a01619f1ecafbe020974d3b183687
7,218b1fcde8264f6aa454aa823aa13780
10,218b1fcde8264f6aa454aa823aa13780
7,5b5bc24bc84bfa562e2a1851a93478a0
6,f2d60f231bb05e11111979f75514b03b
9,f2d60f231bb05e11111979f75514b03b
10,f2d60f231bb05e11111979f75514b03b
12,f2d60f231bb05e11111979f75514b03b
1,a26ebd751314e1fa6c57aadf3905350c
2,a26ebd751314e1fa6c57aadf3905350c
1,ac5c5fc64e07805beadd37b95a36c069
2,ac5c5fc64e07805beadd37b95a36c069
9,ac5c5fc64e07805beadd37b95a36c069
10,ac5c5fc64e07805beadd37b95a36c069
12,ac5c5fc64e07805beadd37b95a36c069
4,52ae6cc88660baab4159eb6ea6448566
9,52ae6cc88660baab4159eb6ea6448566
10,52ae6cc88660baab4159eb6ea6448566
5,61d0a082e91d26144c2765574a302a33
7,61d0a082e91d26144c2765574a302a33
8,61d0a082e91d26144c2765574a302a33
9,61d0a082e91d26144c2765574a302a33
10,61d0a082e91d26144c2765574a302a33
5,932cfd3979fb6e4e154c0a00f0c0aae2
9,932cfd3979fb6e4e154c0a00f0c0aae2
5,c6f30c4dff8244e96ee72aee00c51b8a
6,c6f30c4dff8244e96ee72aee00c51b8a
10,c6f30c4dff8244e96ee72aee00c51b8a
